32,32,0,goodRF,goodRF
34,30,1,goodRF,goodRF
49,15,1,BestRf,goodRF
30,34,0,BestRf,goodRF
33,31,1,goodRF,goodRF
28,36,0,BestRf,goodRF
19,45,0,BestRf,goodRF
52,12,1,BestRf,goodRF
34,30,1,goodRF,BestRf
27,37,0,goodRF,goodRF
41,23,1,goodRF,goodRF
26,38,0,goodRF,goodRF
38,26,1,BestRf,goodRF
20,44,0,Random,goodRF
24,40,0,BestRf,goodRF
26,38,0,goodRF,goodRF
22,42,0,goodRF,goodRF
49,15,1,BestRf,goodRF
35,29,1,Random,goodRF
19,45,0,BestRf,goodRF
44,20,1,BestRf,goodRF
49,15,1,BestRf,Random
41,23,1,BestRf,goodRF
17,47,0,goodRF,Random
42,22,1,BestRf,Random
29,35,0,goodRF,goodRF
28,36,0,goodRF,BestRf
25,39,0,goodRF,goodRF
37,27,1,goodRF,Random
54,10,1,BestRf,goodRF
8,56,0,BestRf,Random
15,49,0,BestRf,goodRF
19,45,0,goodRF,goodRF
40,24,1,BestRf,goodRF
22,42,0,Random,goodRF
22,42,0,goodRF,goodRF
28,36,0,goodRF,goodRF
8,56,0,BestRf,goodRF
33,31,1,goodRF,BestRf
24,40,0,goodRF,Random
41,23,1,Random,Random
32,32,0,goodRF,BestRf
12,52,0,BestRf,goodRF
16,48,0,BestRf,goodRF
34,30,1,goodRF,goodRF
40,24,1,BestRf,Random
42,22,1,goodRF,goodRF
29,35,0,goodRF,goodRF
56,8,1,BestRf,goodRF
20,44,0,Random,goodRF
40,24,1,BestRf,goodRF
27,37,0,goodRF,goodRF
36,28,1,goodRF,goodRF
27,37,0,BestRf,goodRF
45,19,1,BestRf,goodRF
16,48,0,BestRf,goodRF
14,50,0,BestRf,goodRF
22,42,0,Random,goodRF
38,26,1,BestRf,goodRF
47,17,1,goodRF,goodRF
37,27,1,BestRf,goodRF
15,49,0,goodRF,goodRF
26,38,0,goodRF,Random
20,44,0,goodRF,goodRF
42,22,1,BestRf,goodRF
3,53,0,BestRf,goodRF
40,24,1,goodRF,goodRF
12,52,0,BestRf,goodRF
40,24,1,goodRF,Random
46,18,1,BestRf,goodRF
20,44,0,BestRf,goodRF
27,37,0,BestRf,Random
37,27,1,goodRF,goodRF
42,22,1,Random,goodRF
21,43,0,BestRf,goodRF
13,51,0,BestRf,goodRF
35,29,1,goodRF,goodRF
40,24,1,BestRf,Random
37,27,1,goodRF,goodRF
42,22,1,goodRF,goodRF
34,30,1,goodRF,goodRF
15,49,0,BestRf,Random
22,42,0,BestRf,goodRF
50,14,1,BestRf,goodRF
33,31,1,BestRf,goodRF
42,22,1,BestRf,Random
20,44,0,Random,goodRF
40,24,1,goodRF,goodRF
15,49,0,BestRf,goodRF
21,43,0,goodRF,goodRF
33,31,1,goodRF,goodRF
14,50,0,BestRf,goodRF
16,48,0,BestRf,goodRF
37,27,1,BestRf,goodRF
43,21,1,BestRf,goodRF
49,15,1,BestRf,goodRF
23,41,0,BestRf,Random
39,25,1,BestRf,goodRF
17,47,0,goodRF,BestRf
42,22,1,BestRf,goodRF
34,30,1,goodRF,goodRF
18,46,0,goodRF,goodRF
20,44,0,BestRf,Random
24,40,0,goodRF,Random
33,31,1,goodRF,BestRf
5,59,0,BestRf,goodRF
27,37,0,goodRF,goodRF
30,34,0,BestRf,goodRF
34,30,1,goodRF,goodRF
37,27,1,BestRf,goodRF
38,26,1,BestRf,Random
13,51,0,BestRf,goodRF
40,24,1,BestRf,goodRF
24,40,0,goodRF,goodRF
13,51,0,BestRf,goodRF
29,35,0,Random,goodRF
48,16,1,goodRF,goodRF
15,49,0,BestRf,goodRF
28,36,0,BestRf,goodRF
53,10,1,BestRf,goodRF
32,32,0,Random,goodRF
15,49,0,BestRf,goodRF
30,34,0,goodRF,goodRF
12,52,0,goodRF,goodRF
9,55,0,BestRf,Random
37,27,1,BestRf,goodRF
40,24,1,goodRF,Random
30,34,0,goodRF,Random
18,46,0,goodRF,BestRf
41,23,1,goodRF,goodRF
53,10,1,BestRf,goodRF
35,29,1,goodRF,goodRF
42,22,1,BestRf,goodRF
33,31,1,goodRF,goodRF
15,49,0,BestRf,goodRF
44,20,1,BestRf,goodRF
39,25,1,goodRF,BestRf
39,25,1,BestRf,goodRF
7,57,0,BestRf,Random
41,23,1,BestRf,goodRF
27,37,0,goodRF,BestRf
44,20,1,goodRF,goodRF
25,39,0,goodRF,goodRF
43,21,1,BestRf,goodRF
13,51,0,goodRF,goodRF
29,35,0,BestRf,goodRF
31,33,0,goodRF,goodRF
24,40,0,Random,goodRF
32,32,0,BestRf,goodRF
24,40,0,BestRf,goodRF
22,42,0,goodRF,goodRF
19,45,0,goodRF,goodRF
38,26,1,BestRf,goodRF
36,28,1,BestRf,goodRF
25,39,0,goodRF,goodRF
42,22,1,BestRf,Random
16,48,0,goodRF,goodRF
20,44,0,BestRf,goodRF
29,35,0,goodRF,Random
27,37,0,goodRF,goodRF
23,41,0,BestRf,Random
30,34,0,goodRF,goodRF
48,16,1,BestRf,Random
28,36,0,goodRF,BestRf
21,43,0,BestRf,goodRF
11,53,0,BestRf,goodRF
27,37,0,BestRf,goodRF
34,30,1,goodRF,goodRF
37,27,1,goodRF,goodRF
36,28,1,goodRF,Random
40,24,1,Random,goodRF
31,33,0,BestRf,goodRF
38,26,1,goodRF,goodRF
26,38,0,goodRF,goodRF
23,41,0,goodRF,goodRF
30,34,0,BestRf,goodRF
50,14,1,goodRF,goodRF
20,44,0,goodRF,goodRF
18,46,0,BestRf,goodRF
16,48,0,BestRf,goodRF
2,62,0,BestRf,Random
36,28,1,BestRf,goodRF
3,61,0,BestRf,goodRF
50,14,1,BestRf,goodRF
27,37,0,BestRf,goodRF
36,28,1,Random,goodRF
34,30,1,Random,goodRF
22,42,0,BestRf,Random
11,53,0,BestRf,goodRF
47,17,1,BestRf,goodRF
15,49,0,BestRf,goodRF
